상품번호,옵션정보,디자인코드,길이
282153807,"디자인: 로지 / 벽지종류: 두께10mm / 폭1m (고급형) / 길이(수량추가): +2.5m","10T벽지:로지",2.5
282153807,"디자인: 로지 / 벽지종류: 두께5mm / 폭1m (일반형) / 길이(수량추가): +2.5m","5T벽지:로지",2.5
282153807,"디자인: 스폿그레이 / 벽지종류: 두께10mm / 폭1m (고급형) / 길이(수량추가): +2.5m","10T벽지:스폿그레이",2.5
282153807,"디자인: 스폿그레이 / 벽지종류: 두께5mm / 폭1m (일반형) / 길이(수량추가): +2.5m","5T벽지:스폿그레이",2.5
282153807,"디자인: 스폿화이트 / 벽지종류: 두께10mm / 폭1m (고급형) / 길이(수량추가): +2.5m","10T벽지:스폿화이트",2.5
282153807,"디자인: 스폿화이트 / 벽지종류: 두께5mm / 폭1m (일반형) / 길이(수량추가): +2.5m","5T벽지:스폿화이트",2.5
282153807,"디자인: 오트밀 / 벽지종류: 두께10mm / 폭1m (고급형) / 길이(수량추가): +2.5m","10T벽지:오트밀",2.5
282153807,"디자인: 오트밀 / 벽지종류: 두께5mm / 폭1m (일반형) / 길이(수량추가): +2.5m","5T벽지:오트밀",2.5
2402587673,"디자인: 더블우드 / 사이즈: L [200x140 12T]","더블우드 L [200x140 12T]",L
2402587673,"디자인: 더블우드 / 사이즈: S [180x70 12T]","더블우드 S [180x70 12T]",S
2402587673,"디자인: 더블우드 / 사이즈: XL [240x140 12T]","더블우드 XL [240x140 12T]",XL
2402587673,"디자인: 젤라빈 / 사이즈: L [200x140 12T]","젤라빈 L [200x140 12T]",L
2402587673,"디자인: 젤라빈 / 사이즈: S [180x70 12T]","젤라빈 S [180x70 12T]",S
2402587673,"디자인: 젤라빈 / 사이즈: XL [240x140 12T]","젤라빈 XL [240x140 12T]",XL
2402587673,"디자인: 패브릭트윈 / 사이즈: L [200x140 12T]","패브릭트윈 L [200x140 12T]",L
2402587673,"디자인: 패브릭트윈 / 사이즈: S [180x70 12T]","패브릭트윈 S [180x70 12T]",S
2402587673,"디자인: 패브릭트윈 / 사이즈: XL [240x140 12T]","패브릭트윈 XL [240x140 12T]",XL
2402587673,"디자인: 포레스티아 / 사이즈: L [200x140 12T]","포레스티아 L [200x140 12T]",L
2402587673,"디자인: 포레스티아 / 사이즈: S [180x70 12T]","포레스티아 S [180x70 12T]",S
2402587673,"디자인: 포레스티아 / 사이즈: XL [240x140 12T]","포레스티아 XL [240x140 12T]",XL
2402587673,"디자인: 헤링본트윈 / 사이즈: L [200x140 12T]","헤링본트윈 L [200x140 12T]",L
2402587673,"디자인: 헤링본트윈 / 사이즈: S [180x70 12T]","헤링본트윈 S [180x70 12T]",S
2402587673,"디자인: 헤링본트윈 / 사이즈: XL [240x140 12T]","헤링본트윈 XL [240x140 12T]",XL
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 12mm(폭110cm) / 길이(수량추가): 50cm","(110)12T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 12mm(폭120cm) / 길이(수량추가): 50cm","(120)12T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 12mm(폭140cm) / 길이(수량추가): 50cm","(140)12T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","(110)6T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭120cm) / 길이(수량추가): 50cm","(120)6T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","(140)6T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","(110)9T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭120cm) / 길이(수량추가): 50cm","(120)9T그캔",0.5
4200445704,"디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","(140)9T그캔",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 12mm(폭110cm) / 길이(수량추가): 50cm","(110)12T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 12mm(폭120cm) / 길이(수량추가): 50cm","(120)12T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 12mm(폭140cm) / 길이(수량추가): 50cm","(140)12T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","(110)6T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 6mm(폭120cm) / 길이(수량추가): 50cm","(120)6T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","(140)6T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","(110)9T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 9mm(폭120cm) / 길이(수량추가): 50cm","(120)9T도그프린",0.5
4200445704,"디자인 선택: 도그프린트 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","(140)9T도그프린",0.5
4200445704,"디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","(110)6T마블",0.5
4200445704,"디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭120cm) / 길이(수량추가): 50cm","(120)6T마블",0.5
