순번,제품군,포장종류,택배사,배송비,폭(cm),두께(cm),길이_최소(m),길이_최대(m)
1,PVC롤매트,110cm 대박스,경동,12200,110,0.6,8.5,12
2,PVC롤매트,110cm 대박스,경동,12200,110,0.9,6.5,10
3,PVC롤매트,110cm 대박스,경동,12200,110,1.2,4,8
4,PVC롤매트,110cm 대박스,경동,12200,110,1.7,2.5,5
5,PVC롤매트,110cm 대박스,경동,12200,110,2.2,1.5,3
6,PVC롤매트,110cm 소박스,로젠,6000,110,0.6,0.5,8
7,PVC롤매트,110cm 소박스,로젠,6000,110,0.9,0.5,6
8,PVC롤매트,110cm 소박스,로젠,6000,110,1.2,0.5,3.5
9,PVC롤매트,110cm 소박스,로젠,6000,110,1.7,0.5,2
10,PVC롤매트,110cm 소박스,로젠,6000,110,2.2,0.5,1
11,PVC롤매트,120cm 대박스,경동,13900,120,0.6,8.5,12
12,PVC롤매트,120cm 대박스,경동,13900,120,0.9,6.5,10
13,PVC롤매트,120cm 대박스,경동,13900,120,1.2,4,8
14,PVC롤매트,120cm 대박스,경동,13900,120,1.7,2.5,5
15,PVC롤매트,120cm 대박스,경동,13900,120,2.2,1.5,3
16,PVC롤매트,120cm 소박스,경동,8200,120,0.6,0.5,8
17,PVC롤매트,120cm 소박스,경동,8200,120,0.9,0.5,6
18,PVC롤매트,120cm 소박스,경동,8200,120,1.2,0.5,3.5
19,PVC롤매트,120cm 소박스,경동,8200,120,1.7,0.5,2
20,PVC롤매트,120cm 소박스,경동,8200,120,2.2,0.5,1
21,PVC롤매트,140cm 대박스,경동,15500,140,0.6,8.5,12
22,PVC롤매트,140cm 대박스,경동,15500,140,0.9,6.5,10
23,PVC롤매트,140cm 대박스,경동,15500,140,1.2,4,8
24,PVC롤매트,140cm 대박스,경동,15500,140,1.7,2.5,5
25,PVC롤매트,140cm 소박스,경동,8700,140,0.6,0.5,8
26,PVC롤매트,140cm 소박스,경동,8700,140,0.9,0.5,6
27,PVC롤매트,140cm 소박스,경동,8700,140,1.2,0.5,3.5
28,PVC롤매트,140cm 소박스,경동,8700,140,1.7,0.5,2
29,PVC롤매트,70cm 비닐,로젠,6000,70,1.7,0.5,5
30,PVC롤매트,강화비닐 (140cm),경동,17500,110,0.6,12.5,13
31,PVC롤매트,강화비닐 (140cm),경동,17500,110,0.9,10.5,13
32,PVC롤매트,강화비닐 (140cm),경동,17500,110,1.2,8.5,12
33,PVC롤매트,강화비닐 (140cm),경동,17500,110,1.7,5.5,8
34,PVC롤매트,강화비닐 (140cm),경동,17500,110,2.2,3.5,6
35,PVC롤매트,강화비닐 (140cm),경동,19500,120,0.6,12.5,13
36,PVC롤매트,강화비닐 (140cm),경동,19500,120,0.9,10.5,13
37,PVC롤매트,강화비닐 (140cm),경동,19500,120,1.2,8.5,12
38,PVC롤매트,강화비닐 (140cm),경동,19500,120,1.7,5.5,8
39,PVC롤매트,강화비닐 (140cm),경동,19500,120,2.2,3.5,6
40,PVC롤매트,강화비닐 (140cm),경동,22900,140,0.6,12.5,13
41,PVC롤매트,강화비닐 (140cm),경동,22900,140,0.9,10.5,13
42,PVC롤매트,강화비닐 (140cm),경동,22900,140,1.2,8.5,12
43,PVC롤매트,강화비닐 (140cm),경동,22900,140,1.7,5.5,8
44,PE롤매트,110cm 대박스,경동,12200,110,1,5.5,10
45,PE롤매트,110cm 대박스,경동,12200,110,1.5,3,7
46,PE롤매트,110cm 소박스,로젠,6000,110,1,0.5,5
47,PE롤매트,110cm 소박스,로젠,6000,110,1.5,1,2.5
48,PE롤매트,140cm 대박스,경동,15400,140,1,5,10
49,PE롤매트,140cm 대박스,경동,15400,140,1.5,3,7
50,PE롤매트,140cm 소박스,경동,8700,140,1,0.5,4.5
51,PE롤매트,140cm 소박스,경동,8700,140,1.5,1,2.5
52,퍼즐매트 4.0cm,강화비닐 (100x100cm),경동,7000,,4,1,2
53,퍼즐매트 4.0cm,강화비닐 (100x100cm),경동,10800,,4,3,3
54,퍼즐매트 4.0cm,강화비닐 (100x100cm),경동,14100,,4,4,4
55,퍼즐매트 2.5cm,강화비닐 (100x100cm),경동,7000,,2.5,1,3
56,퍼즐매트 2.5cm,강화비닐 (100x100cm),경동,8700,,2.5,4,4
57,퍼즐매트 2.5cm,강화비닐 (100x100cm),경동,10800,,2.5,5,5
58,퍼즐매트 2.5cm,강화비닐 (100x100cm),경동,12800,,2.5,6,6
59,단열벽지,강화비닐,로젠,7000,,0.5,12.5,20
60,단열벽지,강화비닐,로젠,7000,,1,7.5,10
61,단열벽지,소박스,로젠,6000,,0.5,2.5,10
62,단열벽지,소박스,로젠,6000,,1,2.5,5
63,TPU매트,강화비닐 (TPU전용),로젠,3500,,2,1,4
64,TPU매트,강화비닐 (TPU전용),로젠,3500,,2.3,1,4
65,TPU매트,박스 (TPU전용),로젠,4500,,2,5,12
66,TPU매트,박스 (TPU전용),로젠,4500,,2.3,5,10
